Index	Rewards	 Distance
0         -1        3
1         -1        3
2         -1        1
3         -1        1
4         -1        1
5         -1        2
6         -1        2
7         -1        2
8         -1        2
9         -1        2
10        -1        2
11        14        2
12        -1        2
13        -1        2
14        -1        2
15        -1        2
16        -1        2
17        -1        4
18        -1        4
19        -1        4
20        -1        2
21        -1        2
22        -1        2
23        -1        2
24        -1        2
25        -1        2
26        -1        2
27        -1        4
28        -1        3
29        -1        1
30        -2        1
31        -2        1
32        -1        3
33        -1        1
34        -1        2
35        -1        4
36        -1        4
37        -1        5
38        -1        3
39        -1        1
40        -1        2
41        -1        2
42        -1        2
43        -1        2
44        -1        4
45        -1        3
46        -1        3
47        -1        3
48        -1        4
49        -1        2
50        -1        2
51        -1        2
52        -1        2
53        -1        2
54        -1        2
55        -1        2
56        -1        2
57        14        2
58        -1        2
59        -1        4
60        -1        3
61        -1        3
62        -1        3
63        -1        4
64        -1        3
65        -1        3
66        -1        3
67        -1        3
68        14        3
69        -2        3
70        -1        3
71        -1        3
72        -1        3
73        -1        2
74        14        4
75        -1        4
76        -1        4
77        -1        2
78        -1        2
79        -1        2
80        -1        2
81        14        2
82        -1        2
83        -1        2
84        -1        2
85        -1        2
86        -1        2
87        -1        2
88        -1        2
89        -1        2
90        14        3
91        -1        4
92        -1        4
93        -1        2
94        -1        2
95        -1        2
96        -1        2
97        14        2
98        -1        4
99        -1        4
100       -2        4
101       -1        4
102       -1        4
103       -1        5
104       -1        3
105       -2        3
106       -1        1
107       -1        1
108       -1        3
109       -2        3
110       -1        3
111       -1        3
112       -1        1
113       -1        3
114       -1        3
115       -1        1
116       -2        2
117       -1        2
118       -1        4
119       -1        2
120       -1        4
121       14        4
122       -1        3
123       -1        3
124       -1        3
125       -1        3
126       -1        3
127       14        3
128       14        3
129       -1        3
130       -1        3
131       -1        3
132       -1        3
133       -1        1
134       -1        2
135       -1        4
136       -1        5
137       -1        3
138       -1        3
139       -1        3
140       -1        3
141       -2        4
142       -1        4
143       -1        4
144       -1        3
145       -1        3
146       14        1
147       -1        1
148       -1        1
149       -1        1
150       -1        1
151       -1        3
152       -1        1
153       -1        3
154       -1        3
155       -1        3
156       -1        3
157       -1        3
158       -1        3
159       -1        3
160       -1        3
161       -1        4
162       -1        4
163       -1        3
164       -2        3
165       -1        3
166       -1        3
167       -1        1
168       -1        3
169       -1        3
170       -1        1
171       -1        2
172       -2        4
173       -1        4
174       -1        2
175       -1        4
176       -1        2
177       -1        2
178       -1        2
179       -1        1
180       14        1
181       -1        1
182       -1        1
183       14        1
184       -1        3
185       -1        1
186       -1        3
187       -2        3
188       -1        2
189       -1        2
190       -1        4
191       -2        4
192       -1        3
193       -1        3
194       -1        5
195       -2        3
196       -1        2
197       -1        2
198       -1        4
199       -2        2
200       -1        4
201       -1        2
202       -1        4
203       -2        4
204       -1        2
205       -1        4
206       -1        2
207       14        2
208       -1        2
209       -1        2
210       -1        2
211       -1        2
212       -1        2
213       -1        2
214       -2        2
215       -1        1
216       -1        3
217       -2        4
218       -1        4
219       -1        4
220       -1        2
221       -1        2
222       -1        2
223       -1        4
224       -1        2
225       -1        2
226       -1        2
227       -1        2
228       -1        2
229       -2        3
230       -1        3
231       -1        3
232       14        3
233       -1        3
234       -1        1
235       -1        3
236       -2        3
237       -1        3
238       -1        3
239       -1        1
240       -2        2
241       -1        2
242       -1        2
243       -1        2
